fornecedor_nome;fornecedor_cnpj;cliente_nome;cliente_cnpj;total_valor_pedido;total_pedidos_qtd
CCM IND E COM DE PROD DESCARTAVEIS S/A;12288046000218;FARMACIA MAIS SAUDE MEDICAMENTOS EIRELI;30.298.568/0001-00;5025.84;1
PHARLAB INDUSTRIA FARMACEUTICA S.A;02501297000528;FARMACIA NOVA FARMA;46.202.601/0001-88;1915.25;1
(TOTAL VITA) GROWUP INDUSTRIA DE ALIMENTOS E NUTRACEUTICOS LTDA;39353170000195;SUPERFARM POPULAR;26.012.717/0001-47;1607.64;1
LABORATORIO GLOBO LTDA;17115437000173;FARMACIA AVENIDA;16.625.643/0001-60;4210.42;1
HYPERA PP E CH;02932074002801;FARMACIA PACATUBA;05.225.479/0001-88;10506.21;2
TORRENT DO BRASIL LTDA;33078528000132;SERRANA FARMA;34.035.700/0002-14;1531.64;1
EMS S/A;57507378000365;SOARES DROGARIA & PE;12.088.423/0001-94;1332.30;1
(DINNO BABY) DISTRIBUIDORA DE COSMETICOS BY FATTORE LTDA - EPP;52990530000128;CEFARMA;46.432.131/0001-49;2560.00;1
EMS S/A;57507378000365;SUPERFARMA PINHEIRO LTDA ME;41.547.068/0001-72;100.00;1
(TOTAL VITA) GROWUP INDUSTRIA DE ALIMENTOS E NUTRACEUTICOS LTDA;39353170000195;PRO-SAUDE;00.605.064/0001-16;601.72;1
KLEY HERTZ DISTRIBUIDORA LTDA;14408399000582;ECONOMIAFARMA;16.672.967/0014-74;20000.00;1
NATULAB LABORATORIO LTDA;02456955000183;BIG FARMA;47.278.149/0001-09;1004.00;1
NEOQUIMICA;02932074004260;DROGARIA ALAN;35.095.645/0001-30;2700.00;1
(DINNO BABY) DISTRIBUIDORA DE COSMETICOS BY FATTORE LTDA - EPP;52990530000128;FARMACIA NOGUEIRA;34.930.373/0001-83;861.96;1
SANDOZ DO BRASI  IND. FARMAC LTDA (SP);61286647001007;CEGIANE GESSICA A MONTEIRO ME;22.628.471/0001-81;868.82;1
(DINNO BABY) DISTRIBUIDORA DE COSMETICOS BY FATTORE LTDA - EPP;52990530000128;DROGARIA FEITOSA;22.423.646/0001-14;2615.25;1
SOFTYS BRASIL LTDA;44145845001112;FARMACIA SAO FRANCISCO;47.611.476/0001-22;17286.00;1
KIMBERLY-CLARK BRASIL IND.E CO;02290277002507;FARMACIA MURILO FARMA;43.488.013/0001-64;9564.34;1
MILI S/A;78908266000205;FARMACIA MAIS SAUDE;51.578.984/0001-23;5027.24;1
SOFTYS BRASIL LTDA;44145845001112;FARMACIA DA PRAÇA;07.219.651/0001-16;500000.00;1
SANDOZ DO BRASI  IND. FARMAC LTDA (SP);61286647001007;BRASIL FARMA;26.699.473/0001-12;1134.21;1
LABORATORIO GLOBO LTDA;17115437000173;HAPFARMA;27.251.961/0002-06;1560.51;1
TORRENT DO BRASIL LTDA;33078528000132;F NIKELLY PEREIRA DE ALMEIDA;28.266.053/0001-78;3903.82;1
TORRENT DO BRASIL LTDA;33078528000132;FARMACIA DUDA & GABI;13.051.924/0001-69;3445.82;2
NEOQUIMICA;02932074004260;DROGARIA DO TRABALHADOR;36.190.235/0001-30;10097.51;1
SOFTYS BRASIL LTDA;44145845001112;FARMACIA BETEL;08.853.850/0001-44;2842.30;1
(DINNO BABY) DISTRIBUIDORA DE COSMETICOS BY FATTORE LTDA - EPP;52990530000128;DROGARIA MEGA DESCONTAO;19.147.250/0009-34;26000.00;2
LABORATORIO GLOBO LTDA;17115437000173;FARMACIA SAO JOSE - 2;00.653.491/0001-70;1676.68;1
BIOSINTETICA FARMACEUTICA LTDA;53162095002400;FARMACIA DO TRABALHADOR DO POVO;45.804.901/0001-74;2030.42;1
WELLA BRASIL LTDA;37374821000360;DROGARIA SANTA TEREZINHA;15.051.038/0001-60;6000.00;1
CCM IND E COM DE PROD DESCARTAVEIS S/A;12288046000218;FARMACIA MAIS SAUDE;21.257.136/0001-51;274.80;1
LABORATORIO GLOBO LTDA;17115437000173;FCIA DO TRABALHOR DE;19.021.072/0001-43;1024.60;1
MILI S/A;78908266000205;FERNANDES FARMA;30.530.910/0001-47;2675.71;1
ACCUMED PROD MED HOSP LTDA;06105362000123;JOSE WILKER MARTINS DA SILVA;34.035.700/0001-33;1042.26;1
KLEY HERTZ DISTRIBUIDORA LTDA;14408399000582;CRISTIANO MOREIRA MAIA;17.976.078/0001-49;6021.52;1
SOFTYS BRASIL LTDA;44145845001112;POSTO DE MEDICAMENTOS SAUDE DO TRABALHAD;10.534.786/0001-80;70000.00;1
SOFTYS BRASIL LTDA;44145845001112;SUPERFARMA;10.477.798/0003-82;19407.74;1
BIOSINTETICA FARMACEUTICA LTDA;53162095002400;A R DE OLIVEIRA - ME;21.523.336/0001-09;1824.83;1
HIDROLIGHT DO BRASIL S.A;08762826000280;COMERCIAL DE MEDICAMENTOS SOLONOPOLE LTDA;28.843.195/0001-50;2025.39;1
NEOQUIMICA;02932074004260;FARMACIA SAO MIGUEL;03.022.834/0001-96;20180.23;2
MILI S/A;78908266000205;DROGARIA FEITOSA;41.237.006/0001-64;16414.20;1
GERMED FARMACEUTICA LTDA;45992062000165;S.O.S DO TRABALHADOR;07.130.103/0001-15;1226.87;1
WELLA BRASIL LTDA;37374821000360;TELEFARMA;34.186.975/0001-78;1000.00;1
GERMED FARMACEUTICA LTDA;45992062000165;HIPER POPULAR;46.522.105/0001-01;2000.00;1
HIDROLIGHT DO BRASIL S.A;08762826000280;FARM.SOLONOPOLES;10.505.394/0001-93;4070.83;1
LABORATORIO GLOBO LTDA;17115437000173;ULTRA POPULAR;32.736.479/0001-15;10711.06;1
EMS S/A;57507378000365;COMERCIO VAREJISTA DE MEDICAMENTOS FARMACIA CENTRAL LTDA;50.411.655/0003-92;20000.00;2
PRINCIPIA ES COMERCIO DE COSMETICOS LTDA;39710427000208;FCIA DO TRABALHOR DE;19.021.072/0001-43;1029.51;1
NEOQUIMICA;02932074004260;FARMACIA VITORIA;46.143.532/0003-40;2315.21;1
BIOSINTETICA FARMACEUTICA LTDA;53162095002400;DROGARIAS BOM LUGAR;33.938.719/0001-27;2020.30;1
KIMBERLY-CLARK BRASIL IND.E CO;02290277002507;FARMACIA DO POVO;06.284.732/0001-37;3024.32;1
(DINNO BABY) DISTRIBUIDORA DE COSMETICOS BY FATTORE LTDA - EPP;52990530000128;D DE CARVALHO VIEIRA GUEDES EIRELI ME;41.515.480/0001-00;4931.90;1
SOFTYS BRASIL LTDA;44145845001112;GRUPO TOTAL;30035710000118;379047.48;34
SANDOZ DO BRASI  IND. FARMAC LTDA (SP);61286647001007;CENTRO FARMA;20.505.730/0001-51;5800.00;1
KIMBERLY-CLARK BRASIL IND.E CO;02290277002507;FARMACIA JC;01.693.919/0001-70;3083.04;1
SANDOZ DO BRASI  IND. FARMAC LTDA (SP);61286647001007;DROGARIA SAO JOSE;05.358.996/0001-25;2909.00;1
ACCUMED PROD MED HOSP LTDA;06105362000123;FARMACIA SAO JOSE;07.505.165/0001-64;5701.04;1
BIOSINTETICA FARMACEUTICA LTDA;53162095002400;ELLO DISTRIBUIDORA DE MEDICAMENTOS EIRELI;03.748.673/0002-01;10594.00;1
SOFTYS BRASIL LTDA;44145845001112;FARMACIA MAIS SAUDE;21.257.136/0001-51;3136.00;1
GEOLAB IND FARMACEUTICA S/A;03485572000104;FARM FERNANDES;00.796.517/0001-39;5264.10;1
NATULAB LABORATORIO LTDA;02456955000183;FARMACIAS DO TRABALHADOR VIVA BEM;27.237.427/0003-26;1376.08;1
(DINNO BABY) DISTRIBUIDORA DE COSMETICOS BY FATTORE LTDA - EPP;52990530000128;SEU ATACADAO;35.457.195/0001-88;5000.00;1
NEOQUIMICA;02932074004260;FARMACENTER;43.052.150/0001-51;1106.40;1
GEOLAB IND FARMACEUTICA S/A;03485572000104;DROGARIA SAO LUIS;04.316.017/0001-03;990.15;1
CCM IND E COM DE PROD DESCARTAVEIS S/A;12288046000218;JOSE DION FREITAS EIRELI ME;28.280.724/0001-55;5278.90;1
EMS S/A;57507378000365;IBIFARMA COMERCIO DE PRODUTOS FARMACEUTICOS E HOSPITALARES;40.839.940/0001-93;1024.05;1
GEOLAB IND FARMACEUTICA S/A;03485572000104;SERRANA FARMA;34.035.700/0002-14;4074.05;1
ACCUMED PROD MED HOSP LTDA;06105362000123;PROVIDA;09.621.926/0002-50;3187.36;1
KLEY HERTZ DISTRIBUIDORA LTDA;14408399000582;FARMACIA ALIANCA;02.878.118/0001-42;1298.00;1
NEOQUIMICA;02932074004260;FARMACIA GERMANA;41.317.686/0001-26;2220.06;1
(DINNO BABY) DISTRIBUIDORA DE COSMETICOS BY FATTORE LTDA - EPP;52990530000128;LOJA 7;03.924.507/0001-20;5000.00;1
KLEY HERTZ DISTRIBUIDORA LTDA;14408399000582;COMERCIAL FARMACEUTICO JARDIM LTDA;18.464.782/0001-85;3277.97;1
(PLENTY) EUROFRAL PRODUTOS DE HIGIENE LTDA;07125645001090;POP FARMA;40.673.620/0001-06;20250.00;1
BIOSINTETICA FARMACEUTICA LTDA;53162095002400;FARMACIA NOSSA SENHORA APARECIDA;17.843.783/0001-78;1050.00;1
NEOQUIMICA;02932074004260;TELEFARMA;34.186.975/0001-78;2691.00;1
SOFTYS BRASIL LTDA;44145845001112;FARM SANTA BRANCA (MATRIZ);04.044.047/0001-08;400442.10;1
GEOLAB IND FARMACEUTICA S/A;03485572000104;SOARES DROGARIA & PE;12.088.423/0001-94;3953.72;1
SOFTYS BRASIL LTDA;44145845001112;FARMACIA NEVES;49.784.783/0001-30;4483.56;1
NATULAB LABORATORIO LTDA;02456955000183;FARMACIA DO POVO;06.284.732/0001-37;1868.87;1
(DINNO BABY) DISTRIBUIDORA DE COSMETICOS BY FATTORE LTDA - EPP;52990530000128;F BATISTA DE ARAUJO  ME;45.350.009/0001-60;1350.88;1
(DINNO BABY) DISTRIBUIDORA DE COSMETICOS BY FATTORE LTDA - EPP;52990530000128;CEFARMA;35.219.796/0001-52;2645.38;1
BIOSINTETICA FARMACEUTICA LTDA;53162095002400;FARMACIA PROVIDA ( LOJA 07 );44.800.105/0001-09;2878.32;1
EMS S/A;57507378000365;DROGASOL;12.077.160/0001-18;2176.17;2
LABORATORIO GLOBO LTDA;17115437000173;FARMACIA MENOR PRECO;19.759.011/0001-88;1408.83;1
NEOQUIMICA;02932074004260;FARMACIA SANTO ANTONIO;10.944.752/0001-64;1013.66;1
NATULAB LABORATORIO LTDA;02456955000183;FARMACIA GENTIL;34.588.272/0001-76;2115.40;1
ACCUMED PROD MED HOSP LTDA;06105362000123;FARMACIA CAVALCANTE;07.405.553/0001-73;6058.95;1
LOLLY BABY PRODUTOS INFANTIS L;62367032000187;ULTRA POPULAR;14.788.290/0001-94;1029.18;1
SANDOZ DO BRASI  IND. FARMAC LTDA (SP);61286647001007;DROGARIA AGUIAR PAULA LTDA ME;05.329.792/0002-47;3237.97;1
EMS S/A;57507378000365;DROGA JACK;01.215.077/0001-41;561.75;1
KLEY HERTZ DISTRIBUIDORA LTDA;14408399000582;FARMACIA PRO VIDA LJ 01 (MATRIZ);27.089.559/0001-96;10009.77;1
NEOQUIMICA;02932074004260;THAIS M DE SOUZA;34.212.352/0001-22;20000.00;1
ACCUMED PROD MED HOSP LTDA;06105362000123;FARMACIA NOGUEIRA;45.580.762/0001-42;458.25;1
LOLLY BABY PRODUTOS INFANTIS L;62367032000187;FORTE FARMA;39.999.662/0001-52;3040.56;1
NEOQUIMICA;02932074004260;DROGARIAS ULTRA POPULAR ;35.812.253/0001-44;2525.04;1
NEOQUIMICA;02932074004260;FARMACIA MAIS SAUDE;51.578.984/0001-23;1322.44;1
(DINNO BABY) DISTRIBUIDORA DE COSMETICOS BY FATTORE LTDA - EPP;52990530000128;ATENDBEM MATRIZ;05.531.235/0001-23;521.94;1
PRINCIPIA ES COMERCIO DE COSMETICOS LTDA;39710427000208;FCIA LARISSA;63.568.323/0001-04;257.22;1
CCM IND E COM DE PROD DESCARTAVEIS S/A;12288046000218;ATACADO DO VALE COMERCIO DE ALIMENTOS LTDA;32.768.826/0003-53;95400.00;1
LABORATORIO GLOBO LTDA;17115437000173;FCIA LARISSA;63.568.323/0001-04;587.09;1
(PLENTY) EUROFRAL PRODUTOS DE HIGIENE LTDA;07125645001090;JOSE LEONARDO F LTDA;51.741.264/0001-37;1570.00;1
(DINNO BABY) DISTRIBUIDORA DE COSMETICOS BY FATTORE LTDA - EPP;52990530000128;FARMACIA SANTANA;34.683.891/0001-40;3200.00;1
CCM IND E COM DE PROD DESCARTAVEIS S/A;12288046000218;POPULAR FARMA;34.480.588/0001-40;767.84;1
NATULAB LABORATORIO LTDA;02456955000183;DROGAFARMA;41.305.640/0001-97;3034.00;1
SOFTYS BRASIL LTDA;44145845001112;FARMACIA PLANETA LTDA ME;27.409.369/0001-09;11736.93;1
SOFTYS BRASIL LTDA;44145845001112;DEUSABABYS;48.873.043/0001-08;50804.88;1
(TOTAL VITA) GROWUP INDUSTRIA DE ALIMENTOS E NUTRACEUTICOS LTDA;39353170000195;NOSSA FARMACIA;06.886.605/0001-08;4100.67;1
GEOLAB IND FARMACEUTICA S/A;03485572000104;MEDICAL FARMA;14.316.131/0001-97;6027.87;1
BIOSINTETICA FARMACEUTICA LTDA;53162095002400;FARMACIA NOGUEIRA;34.930.373/0001-83;1160.00;1
(PLENTY) EUROFRAL PRODUTOS DE HIGIENE LTDA;07125645001090;DROGA ALVES;06.113.361/0001-20;4348.08;1
PHARLAB INDUSTRIA FARMACEUTICA S.A;02501297000528;SOARES DROGARIA & PE;12.088.423/0001-94;1487.44;1
HIGIMASTER DIST DE PROD DE HIG LTDA (DENTAL CLEAN);06302685001006;DROGARIA SANTA TEREZINHA;15.051.038/0001-60;1769.61;1
CCM IND E COM DE PROD DESCARTAVEIS S/A;12288046000218;ULTRA POPULAR;32.736.479/0001-15;215473.00;1
NEOQUIMICA;02932074004260;ORGANIZACAO POP FARMA LTDA  ME;25.033.525/0001-54;116000.00;1
CCM IND E COM DE PROD DESCARTAVEIS S/A;12288046000218;HIPER POPULAR DROGARIAS;32.811.520/0001-70;11985.42;1
LOLLY BABY PRODUTOS INFANTIS L;62367032000187;LOJA 7;03.924.507/0001-20;6000.00;1
SOFTYS BRASIL LTDA;44145845001112;ATENDBEM FL2;05.531.235/0003-95;3964.06;1
BIOSINTETICA FARMACEUTICA LTDA;53162095002400;ULTRA POPULAR;32.736.479/0001-15;8105.55;1
GEOLAB IND FARMACEUTICA S/A;03485572000104;FARMACIA SAO FRANCISCO;37.741.496/0001-64;30279.00;1
EMS S/A;57507378000365;POPULARFARMA;40.138.469/0001-06;10566.05;1
SOFTYS BRASIL LTDA;44145845001112;FARMACIA JAGUARIBANA;06.063.994/0001-71;1412.88;1
SOFTYS BRASIL LTDA;44145845001112;TICIANY P. RODRIGUES ME;16.442.764/0001-77;25192.37;1
MILI S/A;78908266000205;FEIRAO ATACADO;23.544.299/0004-93;8259.00;1
SOFTYS BRASIL LTDA;44145845001112;BARBOSA E LEITAO ALIMENTOS LTDA;27.965.248/0001-43;30131.42;1
LABORATORIO GLOBO LTDA;17115437000173;FARMACIA AVENIDA;37.957.185/0001-37;4210.42;1
KLEY HERTZ DISTRIBUIDORA LTDA;14408399000582;DROGARIA FRANCILIO SUPER;54.137.920/0001-85;4710.29;1
NEOQUIMICA;02932074004260;FARMACIA OLIVEIRA;33.358.601/0001-20;1020.72;1
KIMBERLY-CLARK BRASIL IND.E CO;02290277002507;CEFARMA;35.219.796/0001-52;1470.00;1
SOFTYS BRASIL LTDA;44145845001112;DROGARIA N.S APARECIDA;23.477.292/0001-53;10067.90;1
SOFTYS BRASIL LTDA;44145845001112;FARMACIA MAIS SAUDE;51.578.984/0001-23;5136.96;1
GERMED FARMACEUTICA LTDA;45992062000165;FARMACIA PRO SAUDE;27.156.743/0001-01;688.88;1
(DINNO BABY) DISTRIBUIDORA DE COSMETICOS BY FATTORE LTDA - EPP;52990530000128;FARMACIA DR NAHIN;31.763.657/0002-15;3453.00;1
TORRENT DO BRASIL LTDA;33078528000132;FARMACIA SAO MATEUS;03.698.550/0001-14;557.73;1
HIGIMASTER DIST DE PROD DE HIG LTDA (DENTAL CLEAN);06302685001006;VITTA FARMA POPULAR;47.718.529/0001-09;1357.22;1
NATULAB LABORATORIO LTDA;02456955000183;FCIA GENERICA DE TUT;15.251.322/0001-80;2052.32;1
SANDOZ DO BRASI  IND. FARMAC LTDA (SP);61286647001007;DROGARIA CRISTHUS;11.770.310/0001-01;530.18;1
SOFTYS BRASIL LTDA;44145845001112;FARMACIA SANTA BRANCA;47.879.569/0001-32;25428.45;1
SANDOZ DO BRASI  IND. FARMAC LTDA (SP);61286647001007;ECONOMIAFARMA;16.672.967/0001-50;20000.00;1
EMS S/A;57507378000365;FARMACIA SAO BENTO ;34.974.448/0001-28;1000.00;1
(PLENTY) EUROFRAL PRODUTOS DE HIGIENE LTDA;07125645001090;DROGARIA FRANCILIO FILIAL 2;07.159.873/0003-52;5133.92;1
SOFTYS BRASIL LTDA;44145845001112;FARMACIA DR NAHIN;31.763.657/0002-15;10199.56;1
KLEY HERTZ DISTRIBUIDORA LTDA;14408399000582;A R DE OLIVEIRA - ME;21.523.336/0001-09;6459.31;1
NEOQUIMICA;02932074004260;COMERCIAL DE MEDICAMENTOS ANA FARMA LTDA;32.045.232/0001-52;2500.00;1
NEOQUIMICA;02932074004260;FARMACIA DA ECONOMIA;04.141.466/0012-10;90000.00;1
KIMBERLY-CLARK BRASIL IND.E CO;02290277002507;OLIVEIRA & QUEIROGA LTDA;10.015.475/0001-05;1605.40;1
BIOSINTETICA FARMACEUTICA LTDA;53162095002400;COMERCIAL DE MEDICAMENTOS NUNES LTDA;51.931.819/0001-03;3079.53;1
BIOSINTETICA FARMACEUTICA LTDA;53162095002400;FARMACIA MODERNA;07.864.812/0001-24;2050.00;1
GERMED FARMACEUTICA LTDA;45992062000165;FARMACIA DO TRABALHADOR;27.520.863/0004-99;5093.00;1
ACCUMED PROD MED HOSP LTDA;06105362000123;FARMACIA ECONOMICA;56.305.586/0001-57;1031.10;1
SOFTYS BRASIL LTDA;44145845001112;FARMACIA PREMIUM;28.280.156/0004-35;1544.23;1
WELLA BRASIL LTDA;37374821000360;HIPER POPULAR DROGARIAS;32.811.520/0001-70;1000.00;1
(DINNO BABY) DISTRIBUIDORA DE COSMETICOS BY FATTORE LTDA - EPP;52990530000128;FARMACIA SAO MIGUEL;03.022.834/0001-96;1015.50;1
ACCUMED PROD MED HOSP LTDA;06105362000123;DROGARIA FEITOSA;41.237.006/0001-64;17709.60;1
EMS S/A;57507378000365;PROVIDA;09.621.926/0002-50;8133.54;1
LABORATORIO GLOBO LTDA;17115437000173;FARMACIA DA PRAÇA;07.219.651/0001-16;30167.80;1
LABORATORIO GLOBO LTDA;17115437000173;FARM.ELTON;07.546.558/0001-16;1408.83;1
PHARLAB INDUSTRIA FARMACEUTICA S.A;02501297000528;FARMACIA BEM ESTAR;30.080.921/0001-72;2225.78;1
LOLLY BABY PRODUTOS INFANTIS L;62367032000187;FARMANOVA;07.272.180/0002-90;2110.47;1
NATULAB LABORATORIO LTDA;02456955000183;FARMACIA ESTILO;03.884.139/0001-33;1515.16;1
NATULAB LABORATORIO LTDA;02456955000183;ECONOMIZE FARMA;54.889.885/0001-50;3508.00;1
GEOLAB IND FARMACEUTICA S/A;03485572000104;DROGARIAS ULTRA POPULAR;31.318.368/0006-30;1524.94;1
ACCUMED PROD MED HOSP LTDA;06105362000123;LOJA 7;03.924.507/0001-20;30000.00;1
HIGIMASTER DIST DE PROD DE HIG LTDA (DENTAL CLEAN);06302685001006;SUPERMECARDO MORANGUINHO;11.659.770/0001-67;22175.13;1
SOFTYS BRASIL LTDA;44145845001112;DROGA MAIS;09.099.316/0001-57;100000.00;1
NEOQUIMICA;02932074004260;FARMACIA DROGRAMIS;42.428.309/0001-27;3346.73;1
KIMBERLY-CLARK BRASIL IND.E CO;02290277002507;DROGARIA LIMA;06.022.768/0001-42;2065.72;1
CERAS JOHNSON LTDA;33122466000895;GRUPO TOTAL;30035710000118;267346.19;63
SOFTYS BRASIL LTDA;44145845001112;DROGARIAS HIPER POPULAR;26.843.356/0005-04;2404.69;1
NATULAB LABORATORIO LTDA;02456955000183;DROGARIA MEGA POPULAR ;33.650.583/0003-17;4659.20;1
PHARLAB INDUSTRIA FARMACEUTICA S.A;02501297000528;FARM.SOLONOPOLES;10.505.394/0001-93;8916.50;1
SOFTYS BRASIL LTDA;44145845001112;DROGATEL;05.328.409/0001-55;19428.00;1
TORRENT DO BRASIL LTDA;33078528000132;FARMACIA PRO SAUDE;27.156.743/0001-01;1178.00;1
HIDROLIGHT DO BRASIL S.A;08762826000280;FARMACIA MODERNA;07.864.812/0001-24;2134.20;1
BIOSINTETICA FARMACEUTICA LTDA;53162095002400;DROGARIA RENDE MAIS ;41.388.399/0001-07;333.60;1
NEOQUIMICA;02932074004260;FARMACENTER;43.052.150/0002-32;1106.40;1
NEOQUIMICA;02932074004260;GRUPO ALTO GIRO COMERCIO ATACADISTA DE PRODUTOS ALIMENTICIO;31.834.934/0001-52;2200.00;1
CCM IND E COM DE PROD DESCARTAVEIS S/A;12288046000218;MARCIA JORDANA ARAUJO LIMA;30.376.426/0001-05;60463.84;1
BIOSINTETICA FARMACEUTICA LTDA;53162095002400;FARMA POPULAR ACARAU LTDA;28.129.082/0001-98;1180.32;1
SOFTYS BRASIL LTDA;44145845001112;FERNANDES FARMA;30.530.910/0001-47;2335.30;1
CCM IND E COM DE PROD DESCARTAVEIS S/A;12288046000218;FARMA FAMA;20.375.071/0001-86;4000.16;1
SOFTYS BRASIL LTDA;44145845001112;FARMACIA PONTUAL;00.974.016/0001-03;5144.82;2
KLEY HERTZ DISTRIBUIDORA LTDA;14408399000582;RHAABE DE KASSIA FONTELES DOS SANTOS ME;37.758.338/0001-17;2108.74;1
(PLENTY) EUROFRAL PRODUTOS DE HIGIENE LTDA;07125645001090;FRANCILIO HILDERBRANDO FERNANDES RODRIGUES MEE;07.159.873/0001-90;1283.49;1
NEOQUIMICA;02932074004260;FCIA DO TRABALHOR DE;19.021.072/0001-43;3310.60;1
BIOSINTETICA FARMACEUTICA LTDA;53162095002400;FARMACIA CASTELO BRANCO;33.023.826/0001-25;1419.64;1
ACCUMED PROD MED HOSP LTDA;06105362000123;DROGARIA MEGA DESCONTAO;19.147.250/0009-34;16768.00;1
HIGIMASTER DIST DE PROD DE HIG LTDA (DENTAL CLEAN);06302685001006;EXTRA SAO JOSE;04.441.266/0001-20;2124.02;1
NEOQUIMICA;02932074004260;FARMACIA CONVIVA IGUATU;11.704.251/0001-73;1023.99;1
NEOQUIMICA;02932074004260;FCIA DO TRABALHADOR DO NORDEST;19.017.352/0001-88;1984.58;1
SOFTYS BRASIL LTDA;44145845001112;FRANCILIO HILDERBRANDO FERNANDES RODRIGUES MEE;07.159.873/0001-90;50087.80;1
PHARLAB INDUSTRIA FARMACEUTICA S.A;02501297000528;DROGARIA ULTRA POPULAR;31.637.134/0002-22;866.62;1
KLEY HERTZ DISTRIBUIDORA LTDA;14408399000582;A E B COMERCIO DE PRODUTOS FA;19.664.293/0001-30;1673.00;1
GEOLAB IND FARMACEUTICA S/A;03485572000104;DROGA CENTER;08.713.749/0001-98;5828.95;1
SOFTYS BRASIL LTDA;44145845001112;FCIA POPULAR;12.365.566/0001-04;5011.00;1
EMS S/A;57507378000365;FARMACIA CONVIVA ACOPIARA;54.983.111/0001-94;658.06;1
(DINNO BABY) DISTRIBUIDORA DE COSMETICOS BY FATTORE LTDA - EPP;52990530000128;FARMACIAS NORDESTE;38.347.965/0003-90;1999.00;2
NEOQUIMICA;02932074004260;COMERCIAL DE MEDICAMENTOS SOLONOPOLE LTDA;28.843.195/0001-50;15594.00;1
SANDOZ DO BRASI  IND. FARMAC LTDA (SP);61286647001007;DROG BEZERRA LEAL;03.107.399/0001-00;2890.80;1
ACCUMED PROD MED HOSP LTDA;06105362000123;PREMIUM COMERCIO VAREJISTA DE MEDICAMENTOS LTDA - ME;28.280.156/0001-92;547.60;1
SOFTYS BRASIL LTDA;44145845001112;FARMACIA SAO JOSE;23.578.040/0001-10;13560.60;1
(PLENTY) EUROFRAL PRODUTOS DE HIGIENE LTDA;07125645001090;DROGARIAS ULTRA POPULAR ;35.812.253/0001-44;4336.92;1
BIOSINTETICA FARMACEUTICA LTDA;53162095002400;ARAUJO E ANDRADE EMPREENDIMENT;15.033.761/0001-17;1935.00;1
(DINNO BABY) DISTRIBUIDORA DE COSMETICOS BY FATTORE LTDA - EPP;52990530000128;POP FARMA;49.616.599/0001-81;5890.00;1
NEOQUIMICA;02932074004260;FARMACIA NOGUEIRA;34.930.373/0001-83;707.82;1
BIOSINTETICA FARMACEUTICA LTDA;53162095002400;ULTRA POPULAR;32.736.479/0002-04;5330.96;1
GEOLAB IND FARMACEUTICA S/A;03485572000104;FARMACIA MENOR PREÇO;13.068.300/0001-54;3566.98;1
ACCUMED PROD MED HOSP LTDA;06105362000123;FERNANDES FARMA;30.530.910/0001-47;2282.33;1
SOFTYS BRASIL LTDA;44145845001112;TELEFARMA;34.186.975/0001-78;10269.82;1
(DINNO BABY) DISTRIBUIDORA DE COSMETICOS BY FATTORE LTDA - EPP;52990530000128;FARMACIAS DO TRABALHADOR DO NORDESTE;38.347.975/0001-63;1784.30;1
HIGIMASTER DIST DE PROD DE HIG LTDA (DENTAL CLEAN);06302685001006;VAREJAO DOS COMPRIMIDOS MARTINS;25.007.294/0001-04;1038.51;1
SANDOZ DO BRASI  IND. FARMAC LTDA (SP);61286647001007;FARMACIA MAURITI;07.268.061/0001-83;3000.00;1
LOLLY BABY PRODUTOS INFANTIS L;62367032000187;GRUPO TOTAL;30035710000118;22000.00;1
KLEY HERTZ DISTRIBUIDORA LTDA;14408399000582;ANTONIO SAMUEL F. RODRIGUES ME;21.093.730/0001-54;1319.84;1
GERMED FARMACEUTICA LTDA;45992062000165;FARMACIA MAIS SAUDE;21.257.136/0001-51;4000.00;1
HIDROLIGHT DO BRASIL S.A;08762826000280;FARMACIA PADRE CICERO;07.196.132/0001-80;2125.47;1
CCM IND E COM DE PROD DESCARTAVEIS S/A;12288046000218;FARMACIA SAO MATEUS;03.698.550/0001-14;15002.44;1
BIOSINTETICA FARMACEUTICA LTDA;53162095002400;FARMA FAMA;20.375.071/0001-86;2049.99;1
CCM IND E COM DE PROD DESCARTAVEIS S/A;12288046000218;MACEDO COMERCIO DE MEDICAMENTOS LTDA;01.639.374/0001-14;8762.76;1
NEOQUIMICA;02932074004260;VARJOFARMA;11.814.055/0001-51;358600.00;1
SOFTYS BRASIL LTDA;44145845001112;SILVA E GALVAO LTDA ME;07.272.180/0004-52;2404.69;1
PRO NOVA DIST E COM DE COSMETICOS LTDA - GIOVANNA BABY;21998451001373;GRUPO TOTAL;30035710000118;431724.58;54
NATULAB LABORATORIO LTDA;02456955000183;FARMACIA CONVIVA;21.593.391/0002-56;3320.70;1
HIDROLIGHT DO BRASIL S.A;08762826000280;FARMACIA PRO VIDA LJ 01 (MATRIZ);27.089.559/0001-96;4932.01;3
(DINNO BABY) DISTRIBUIDORA DE COSMETICOS BY FATTORE LTDA - EPP;52990530000128;COMERCIAL DE MEDICAMENTOS NOGUEIRA LTDA;41.399.468/0001-88;2054.48;1
NEOQUIMICA;02932074004260;MEDFARMA DRUGSTORE LTDA - ME;21.045.536/0001-01;1464.30;1
KLEY HERTZ DISTRIBUIDORA LTDA;14408399000582;DROGARIAS ULTRA POPULAR ;35.812.253/0003-06;1930.86;1
